AVG Current,STD Current,MAX Current,MIN Current,Range Current,Kurtosis Current,RMS Current,Skewness Current,Entropy Current,AVG Torque,STD Torque,MAX Torque,MIN Torque,Range Torque,Kurtosis Torque,RMS Torque,Skewness Torque,Entropy Torque,AVG Active Power,STD Active Power,MAX Active Power,MIN Active Power,Range Active Power,Kurtosis Active Power,RMS Active Power,Skewness Active Power,Entropy Active Power,Class
0.564812,0.010785,0.588440,0.546753,0.041687,0.919824,0.564915,0.271460,6.907573,0.060645,0.012338,0.079407,0.034790,0.044617,1.119479,0.061886,0.426284,6.886170,0.378810,0.021774,0.410889,0.333435,0.077454,1.124283,0.379435,0.433410,6.906090,0
0.562130,0.010785,0.584106,0.544312,0.039794,0.990814,0.562233,0.204409,6.907572,0.060400,0.012027,0.078247,0.035522,0.042725,1.141915,0.061584,0.446397,6.887082,0.377709,0.021570,0.409363,0.333374,0.075989,1.163976,0.378324,0.454509,6.906110,0
0.562237,0.011013,0.585327,0.543884,0.041443,0.876698,0.562344,0.237756,6.907564,0.060985,0.011945,0.078979,0.037537,0.041442,1.148664,0.062143,0.438586,6.887781,0.378507,0.021416,0.408203,0.336304,0.071899,1.156633,0.379111,0.463518,6.906141,0
0.564651,0.011247,0.588318,0.546814,0.041504,0.920805,0.564763,0.223075,6.907557,0.061180,0.011930,0.079041,0.037354,0.041687,1.157161,0.062331,0.413046,6.887999,0.379650,0.021258,0.411438,0.336792,0.074646,1.187264,0.380244,0.418705,6.906175,0
0.565643,0.011379,0.591187,0.546326,0.044861,0.917145,0.565757,0.233314,6.907553,0.061130,0.012275,0.078918,0.037781,0.041137,1.155823,0.062349,0.412255,6.886773,0.379911,0.021947,0.412903,0.336914,0.075989,1.161455,0.380544,0.435292,6.906073,0
0.565199,0.010967,0.590759,0.546692,0.044067,0.919201,0.565305,0.254948,6.907567,0.060326,0.012307,0.079285,0.036072,0.043213,1.138596,0.061567,0.413998,6.886070,0.378473,0.021913,0.411621,0.334717,0.076904,1.137894,0.379107,0.449946,6.906065,0
0.562064,0.010810,0.585388,0.543091,0.042297,0.965395,0.562167,0.216104,6.907571,0.060128,0.011949,0.076172,0.035645,0.040527,1.153935,0.061303,0.454151,6.887158,0.377385,0.021519,0.405823,0.333801,0.072022,1.148637,0.377998,0.472151,6.906115,0
0.562382,0.010997,0.585754,0.543457,0.042297,0.862750,0.562490,0.224709,6.907565,0.060596,0.011961,0.078979,0.037415,0.041564,1.135452,0.061764,0.417620,6.887489,0.378110,0.021537,0.410583,0.336426,0.074157,1.174740,0.378722,0.430176,6.906120,0
0.564611,0.011334,0.589600,0.545349,0.044251,0.865072,0.564724,0.224429,6.907554,0.061433,0.011965,0.079163,0.037720,0.041443,1.206818,0.062586,0.394806,6.888078,0.380160,0.021382,0.410889,0.338074,0.072815,1.245394,0.380760,0.413975,6.906161,0
0.565833,0.011386,0.590881,0.547363,0.043518,0.926149,0.565947,0.209879,6.907553,0.061016,0.012283,0.079041,0.037659,0.041382,1.150042,0.062239,0.411154,6.886664,0.379732,0.021849,0.412598,0.336121,0.076477,1.145084,0.380359,0.439071,6.906086,0
0.565077,0.010798,0.589233,0.547485,0.041748,0.975077,0.565180,0.238665,6.907573,0.060159,0.012310,0.077637,0.034973,0.042664,1.151504,0.061404,0.412951,6.885939,0.378314,0.021945,0.408691,0.333374,0.075317,1.194640,0.378949,0.426051,6.906059,0
0.562163,0.010640,0.583862,0.543518,0.040344,0.993778,0.562263,0.214878,6.907577,0.059888,0.011964,0.077942,0.034851,0.043091,1.107798,0.061070,0.447671,6.886933,0.376945,0.021488,0.408569,0.332520,0.076049,1.113511,0.377557,0.471482,6.906116,0
0.562359,0.010980,0.585693,0.543213,0.042480,0.876371,0.562466,0.217822,6.907565,0.060626,0.011846,0.077698,0.038208,0.039490,1.158398,0.061771,0.423168,6.887904,0.378312,0.021596,0.410461,0.336243,0.074218,1.186202,0.378927,0.443254,6.906112,0
0.564640,0.011303,0.588867,0.547363,0.041504,0.893548,0.564753,0.242451,6.907555,0.061215,0.011934,0.079712,0.037231,0.042481,1.162913,0.062366,0.409833,6.888013,0.379748,0.021210,0.410461,0.337097,0.073364,1.152117,0.380339,0.448102,6.906183,0
0.565804,0.011370,0.590698,0.547729,0.042969,0.902504,0.565918,0.222482,6.907554,0.060866,0.012260,0.078979,0.035767,0.043212,1.152002,0.062087,0.397929,6.886658,0.379371,0.021777,0.410095,0.335754,0.074341,1.182593,0.379995,0.420168,6.906094,0
0.565342,0.010850,0.590576,0.547119,0.043457,0.933659,0.565446,0.246993,6.907572,0.060245,0.012344,0.079285,0.036194,0.043091,1.123300,0.061495,0.426364,6.885852,0.378518,0.021876,0.411987,0.334900,0.077087,1.153138,0.379149,0.437038,6.906071,0
